,Unnamed: 0,Unnamed: 0.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential
45,2505,4630,ATL,46,2016-01-25,Away,DEN,W,119,105,43,86,0.5,9,27,0.333,24,26,0.923,10,42,28,11,3,14,24,33,84,0.393,6,20,0.3,33,37,0.892,12,43,18,10,3,15,18,2016-01-25,14,10,2,0.10699999999999998,3,7,0.03300000000000003,-9,-11,0.031000000000000028,-2,-1,10,1,0,-1,6
46,2506,4730,ATL,47,2016-01-27,Home,LAC,L,83,85,33,79,0.418,10,23,0.435,7,14,0.5,8,49,21,6,3,22,17,33,85,0.388,5,27,0.185,14,21,0.667,9,46,18,16,5,11,14,2016-01-27,-2,0,-6,0.02999999999999997,5,-4,0.25,-7,-7,-0.16700000000000004,-1,3,3,-10,-2,11,3
47,2507,4830,ATL,48,2016-01-28,Away,IND,L,92,111,33,83,0.398,7,28,0.25,19,21,0.905,5,32,20,9,4,14,22,38,78,0.487,9,15,0.6,26,30,0.867,10,49,20,10,8,16,17,2016-01-28,-19,-5,5,-0.08899999999999997,-2,13,-0.35,-7,-9,0.038000000000000034,-5,-17,0,-1,-4,-2,5
48,2508,4930,ATL,49,2016-01-31,Away,MIA,L,87,105,27,70,0.386,5,22,0.227,28,32,0.875,2,31,13,10,3,17,23,39,81,0.481,5,20,0.25,22,26,0.846,10,47,21,10,4,18,23,2016-01-31,-18,-12,-11,-0.09499999999999997,0,2,-0.022999999999999993,6,6,0.029000000000000026,-8,-16,-8,0,-1,-1,0
49,2509,5030,ATL,50,2016-02-01,Home,DAL,W,112,97,42,80,0.525,14,35,0.4,14,19,0.737,5,50,29,2,6,15,25,31,85,0.365,7,26,0.269,28,38,0.737,10,37,14,5,2,6,18,2016-02-01,15,11,-5,0.16000000000000003,7,9,0.131,-14,-19,0.0,-5,13,15,-3,4,9,7
50,2510,5139,ATL,51,2016-02-03,Away,PHI,W,124,86,48,92,0.522,10,20,0.5,18,25,0.72,11,52,28,13,7,18,12,35,84,0.417,6,27,0.222,10,14,0.7140000000000001,6,38,27,7,10,23,20,2016-02-03,38,13,8,0.10500000000000004,4,-7,0.278,8,11,0.005999999999999894,5,14,1,6,-3,-5,-8
51,2511,5232,ATL,52,2016-02-05,Home,IND,W,102,96,39,76,0.513,10,27,0.37,14,20,0.7,3,32,29,10,5,15,16,38,91,0.418,13,31,0.419,7,9,0.778,19,53,23,6,4,19,18,2016-02-05,6,1,-15,0.09500000000000003,-3,-4,-0.04899999999999999,7,11,-0.07800000000000007,-16,-21,6,4,1,-4,-2
52,2512,5330,ATL,53,2016-02-07,Away,ORL,L,94,96,35,91,0.385,13,28,0.464,11,15,0.733,18,50,22,7,7,16,13,39,85,0.459,7,25,0.28,11,12,0.917,8,43,24,9,10,18,13,2016-02-07,-2,-4,6,-0.07400000000000001,6,3,0.184,0,3,-0.18400000000000005,10,7,-2,-2,-3,-2,0
53,2513,5430,ATL,54,2016-02-08,Home,ORL,L,110,117,43,92,0.467,12,29,0.414,12,20,0.6,8,47,31,9,4,14,20,46,93,0.495,9,29,0.31,16,22,0.727,6,47,37,11,8,13,22,2016-02-08,-7,-3,-1,-0.02799999999999997,3,0,0.10399999999999998,-4,-2,-0.127,2,0,-6,-2,-4,1,-2
54,2514,5530,ATL,55,2016-02-10,Away,CHI,W,113,90,43,90,0.478,13,33,0.394,14,15,0.933,11,46,25,16,7,12,14,38,86,0.442,5,14,0.35700000000000004,9,12,0.75,11,45,21,7,3,18,17,2016-02-10,23,5,4,0.035999999999999976,8,19,0.03699999999999998,5,3,0.18300000000000005,0,1,4,9,4,-6,-3
